timestamp,open,high,low,close,volume
1781318100,63717.77,63720.75,63690.81,63700.48,23.88738
1781318400,63700.48,63700.48,63624.07,63624.08,152.93317
1781318700,63624.08,63640,63569.7,63575.18,70.09163
1781319000,63575.18,63588,63558,63587.99,13.3478
1781319300,63587.99,63656,63587.99,63646.01,13.17693
1781319600,63646.01,63690,63646,63687.22,11.79502
1781319900,63687.22,63720.88,63679.48,63688.72,40.71679
1781320200,63688.72,63704,63662.5,63662.51,12.687
1781320500,63662.51,63681.19,63589.28,63603.84,18.87385
1781320800,63603.84,63614.94,63558,63582,19.26708
1781321100,63582,63582,63418.66,63511.81,94.40409
1781321400,63511.81,63522.08,63488,63497.94,10.25659
1781321700,63497.94,63515.89,63490,63511.35,13.90328
1781322000,63511.35,63511.36,63478.92,63504.72,7.61387
1781322300,63504.72,63510.79,63504.71,63510.79,4.24494
1781322600,63510.79,63554.59,63500,63554.59,29.73666
1781322900,63554.59,63556,63532,63532,5.05106
1781323200,63532,63568.11,63517.69,63526.62,22.34063
1781323500,63526.62,63540,63486,63486,14.36292
1781323800,63486,63513.74,63484,63513.73,10.33467
1781324100,63513.73,63543.82,63497.31,63543.81,11.67121
1781324400,63543.81,63584,63535.05,63548.71,8.27581
1781324700,63548.71,63558.71,63542,63542.01,6.27406
1781325000,63542.01,63592,63536,63591.99,6.03612
1781325300,63591.99,63625.99,63591.99,63610.02,12.14843
1781325600,63610.02,63625.48,63610.01,63623.43,17.11069
1781325900,63623.43,63639.9,63615.45,63639.9,6.61161
1781326200,63639.9,63663.91,63606.21,63613.2,19.45181
1781326500,63613.2,63613.21,63512,63512.01,9.535
1781326800,63512.01,63550,63493.16,63549.99,10.81263
1781327100,63549.99,63561.99,63517.65,63561.99,18.69716
1781327400,63561.99,63590,63561.98,63568.58,17.99445
1781327700,63568.58,63568.59,63536.01,63560,17.1166
1781328000,63560,63596,63546,63557.99,28.96583
1781328300,63557.99,63592,63549.43,63552,120.82771
1781328600,63552,63588.92,63545.11,63545.11,253.00337
1781328900,63545.11,63564,63523.38,63564,115.73996
1781329200,63564,63586.3,63550,63566.95,29.09343
1781329500,63566.95,63577.9,63518,63550.95,13.83694
1781329800,63550.95,63551.75,63493.17,63519.99,17.89438
1781330100,63519.99,63584.03,63519.99,63584.03,14.64536
1781330400,63584.03,63611.73,63554.82,63567.25,10.89868
1781330700,63567.25,63592,63559.28,63592,5.15921
1781331000,63592,63605.67,63580,63582.54,5.36363
1781331300,63582.54,63610.77,63550.51,63610.77,21.68162
1781331600,63610.77,63629.14,63590.14,63590.14,13.66583
1781331900,63590.14,63680,63590.01,63679.99,112.55354
1781332200,63679.99,63720.29,63648,63684.01,42.8302
1781332500,63684.01,63700.01,63674.51,63686,27.21018
1781332800,63686,63686.01,63674,63681,14.66336
1781333100,63681,63698.3,63680.99,63698.29,11.97389
1781333400,63698.29,63729.93,63682.28,63727.59,17.35456
1781333700,63727.59,63740,63716.56,63735.74,16.18543
1781334000,63735.74,63738.57,63690,63697.14,18.4414
1781334300,63697.14,63711.2,63674.98,63711.19,8.05922
1781334600,63711.19,63750,63702.12,63728,22.07576
1781334900,63728,63738.93,63680.01,63738.91,27.10231
1781335200,63738.91,63738.91,63720,63725.72,14.66598
1781335500,63725.72,63808,63725.72,63779.09,58.11913
1781335800,63779.09,63787.41,63752.45,63752.45,10.83414
1781336100,63752.45,63830.09,63752.45,63825.41,70.56629
1781336400,63825.41,63840.36,63801.6,63821.82,67.17971
1781336700,63821.82,63883.47,63805.17,63818.56,78.34896
1781337000,63818.56,63861.26,63813.36,63844,44.45217
1781337300,63844,63850.4,63806,63846,17.1323
1781337600,63846,63850.38,63795.98,63809.3,28.73972
1781337900,63809.3,63828,63776.62,63827.99,19.98278
1781338200,63827.99,63883.5,63792,63792,38.41009
1781338500,63792,63831.22,63784,63831.21,17.16001
1781338800,63831.21,63831.22,63766.18,63766.52,10.11885
1781339100,63766.52,63820.43,63766.51,63810.01,6.80712
1781339400,63810.01,63863.16,63795.93,63813.52,37.05996
1781339700,63813.52,63910,63813.52,63878,22.13704
1781340000,63878,63906,63868,63878.02,11.60267
1781340300,63878.02,63878.02,63860.15,63860.15,4.99269
1781340600,63860.15,63860.16,63808,63809.16,10.83882
1781340900,63809.16,63817.99,63791.01,63806,19.58959
1781341200,63806,63843.99,63784.91,63803.71,15.27784
1781341500,63803.71,63835.99,63796,63796.01,10.17092
1781341800,63796.01,63814.39,63783.41,63806,78.31648
1781342100,63806,63837.85,63804.85,63837.84,6.58064
1781342400,63837.84,63867.65,63816,63845.04,23.44197
1781342700,63845.04,63845.05,63805.32,63815.99,11.40628
1781343000,63815.99,63831.96,63793.99,63794,15.49415
1781343300,63794,63815.73,63791.99,63792,40.91937
1781343600,63792,63815.73,63792,63814.27,16.32964
1781343900,63814.27,63814.28,63792.84,63792.85,15.3785
1781344200,63792.85,63792.85,63742.57,63762,64.29799
1781344500,63762,63770,63743.12,63743.12,4.34455
1781344800,63743.12,63760.92,63726.57,63732.95,22.16032
1781345100,63732.95,63776.3,63732.95,63752.87,6.94472
1781345400,63752.87,63782,63749.99,63782,3.38835
1781345700,63782,63787.92,63756,63787.92,8.53804
1781346000,63787.92,63787.92,63764.03,63771.16,8.54494
1781346300,63771.16,63794,63768.63,63782,36.14656
1781346600,63782,63848,63782,63848,11.29301
1781346900,63848,63852.07,63829.55,63847.6,6.98669
1781347200,63847.6,63888,63822,63854.3,27.29491
1781347500,63854.3,63885.62,63854.29,63885.61,9.85272
1781347800,63885.61,63908.48,63842,63842.01,34.73919
1781348100,63842.01,63846.46,63800,63843.01,12.87842
1781348400,63843.01,63873.89,63843.01,63861.99,11.51968
1781348700,63861.99,63915.41,63857.1,63915.41,21.92849
1781349000,63915.41,63949.99,63910.36,63924.41,72.29168
1781349300,63924.41,63969.49,63924.41,63969.48,13.39384
1781349600,63969.48,63969.48,63924.31,63963.02,37.53532
1781349900,63963.02,63984.53,63939.1,63952.18,58.00324
1781350200,63952.18,63952.19,63904.88,63912.02,39.1044
1781350500,63912.02,63931.41,63893.07,63908,77.51084
1781350800,63908,63916,63890.83,63905.2,69.79297
1781351100,63905.2,63912.45,63896.85,63902.51,19.54549
1781351400,63902.51,63930.93,63899.61,63903.96,17.63089
1781351700,63903.96,63980.01,63903.96,63971.28,40.79472
1781352000,63971.28,63971.69,63940,63959.83,36.38103
1781352300,63959.83,63959.83,63921.33,63922.64,8.6128
1781352600,63922.64,63957.31,63922.64,63938.42,5.8688
1781352900,63938.42,63953.49,63928.02,63949.43,5.00134
1781353200,63949.43,63968,63928.9,63939.78,49.11531
1781353500,63939.78,63989.47,63929.99,63949.85,231.54267
1781353800,63949.85,64014,63949.84,64008.11,35.32675
1781354100,64008.11,64018,63991.01,64004.64,20.17203
1781354400,64004.64,64022,63997.46,64002.61,51.06354
1781354700,64002.61,64122.31,64002.6,64077.78,304.78015
1781355000,64077.78,64123.58,64070.13,64117.98,67.51388
1781355300,64117.98,64214,64104.3,64133.12,62.67011
1781355600,64133.12,64150.9,64078.01,64111.99,34.10194
1781355900,64111.99,64175.93,64111.99,64157.89,47.40324
1781356200,64157.89,64172.73,64132.44,64172.23,26.55629
1781356500,64172.23,64172.23,64119.74,64119.88,34.49788
1781356800,64119.88,64206,64118.73,64206,36.71783
1781357100,64206,64234,64206,64230.26,65.74946
1781357400,64230.26,64230.26,64167.66,64218.56,39.7873
1781357700,64218.56,64238.93,64218.55,64230.61,31.38951
1781358000,64230.61,64245.88,64155.23,64155.24,45.4973
1781358300,64155.24,64194,64066.01,64154.8,84.26048
1781358600,64154.8,64164.95,64085.32,64091.74,37.72269
1781358900,64091.74,64113.99,64060,64102.69,16.04777
1781359200,64102.69,64169.95,64090.09,64163.24,18.12657
1781359500,64163.24,64183.98,64130,64167.69,20.66084
1781359800,64167.69,64170.25,64154.46,64154.46,9.80397
1781360100,64154.46,64184.72,64152.87,64152.88,25.5473
1781360400,64152.88,64152.88,64105.48,64115.79,13.43951
1781360700,64115.79,64152.89,64115.78,64132.8,8.75593
1781361000,64132.8,64170,64132.8,64154.99,33.99585
1781361300,64154.99,64211.85,64154.99,64206.75,18.31029
1781361600,64206.75,64208.68,64176.01,64179.97,10.90027
1781361900,64179.97,64210,64179.96,64209.25,12.40173
1781362200,64209.25,64233.73,64193.19,64212.04,20.9313
1781362500,64212.04,64232.78,64209.34,64220.97,13.58677
1781362800,64220.97,64230.02,64186.97,64225.26,32.90712
1781363100,64225.26,64273.43,64200,64230.12,36.72777
1781363400,64230.12,64310.22,64226.09,64287.3,169.29968
1781363700,64287.3,64315.58,64262,64262.01,40.02861
1781364000,64262.01,64331.71,64235.5,64285.06,48.18302
1781364300,64285.06,64295.55,64276.61,64295.54,24.14245
1781364600,64295.54,64320,64281.31,64290.15,37.05192
1781364900,64290.15,64339.83,64283.98,64337.08,23.5528
1781365200,64337.08,64350,64242.01,64242.02,53.60298
1781365500,64242.02,64242.02,64193.58,64228.04,51.84697
1781365800,64228.04,64326.63,64223.55,64291,33.68305
1781366100,64291,64317,64290.99,64296.15,33.89568
1781366400,64296.15,64307.52,64030,64062.28,161.34356
1781366700,64062.28,64135.77,64002.72,64097.57,74.986
1781367000,64097.57,64109.79,64056.74,64097.34,63.12381
1781367300,64097.34,64097.35,64007.68,64084.61,84.24895
1781367600,64084.61,64084.62,63979.59,63984.5,45.36409
1781367900,63984.5,64068.38,63978.79,63982.04,70.77721
1781368200,63982.04,64027.4,63982.04,63986.41,19.55408
1781368500,63986.41,64027.42,63975.6,64026.49,12.06908
1781368800,64026.49,64072,64026.48,64062.39,13.19171
1781369100,64062.39,64165.84,63928.02,63928.25,132.60247
1781369400,63928.25,64010,63920.05,64000.01,29.28208
1781369700,64000.01,64042,63988,64029.17,14.20506
1781370000,64029.17,64057.99,63962.5,63962.5,22.86446
1781370300,63962.5,64020.61,63956,63988.99,9.64103
1781370600,63988.99,63990,63951.59,63964.16,21.89089
1781370900,63964.16,64039.4,63944,64039.4,19.99078
1781371200,64039.4,64057.99,64031.78,64031.79,10.21792
1781371500,64031.79,64098,64016.33,64097.99,19.75191
1781371800,64097.99,64120,64069.22,64095.9,44.77767
1781372100,64095.9,64120,64089.99,64102.74,25.634
1781372400,64102.74,64113.64,64102.73,64105.99,6.80518
1781372700,64105.99,64120,64030.25,64054.01,44.27437
1781373000,64054.01,64054.01,63974.26,63977.46,30.00844
1781373300,63977.46,63997.78,63948,63971.19,45.8998
1781373600,63971.19,64011.72,63971.19,64000.34,23.061
1781373900,64000.34,64068,64000.34,64068,7.85915
1781374200,64068,64070.84,64050,64057.06,40.25493
1781374500,64057.06,64091.98,64047.04,64061.85,48.10487
1781374800,64061.85,64120,64028,64119.99,18.44977
1781375100,64119.99,64206,64119.99,64194.06,19.89413
1781375400,64194.06,64218,64174.39,64204.64,13.26149
1781375700,64204.64,64259.39,64201.13,64255.68,14.31798
1781376000,64255.68,64282.19,64246,64265.76,13.15875
1781376300,64265.76,64268,64104.63,64104.63,34.05807
1781376600,64104.63,64122.61,64054.48,64122.6,22.85502
1781376900,64122.6,64169.99,64107.02,64161.46,23.44638
1781377200,64161.46,64210.52,64159.08,64184.2,27.15104
1781377500,64184.2,64205.54,64152,64201.03,27.14107
1781377800,64201.03,64204.49,64174,64204.49,9.82
